Index Level :;Price
Currency :;USD
;
;
Date;WORLD Standard (Large+Mid Cap) 
Apr 02, 2010;1.212,756
Apr 05, 2010;1.217,360
Apr 06, 2010;1.218,120
Apr 07, 2010;1.213,333
Apr 08, 2010;1.211,268
Apr 09, 2010;1.223,319
Apr 12, 2010;1.229,345
Apr 13, 2010;1.226,010
Apr 14, 2010;1.239,308
Apr 15, 2010;1.241,700
Apr 16, 2010;1.222,249
Apr 19, 2010;1.217,511
Apr 20, 2010;1.228,047
Apr 21, 2010;1.225,365
Apr 22, 2010;1.218,734
Apr 23, 2010;1.225,380
Apr 26, 2010;1.228,594
Apr 27, 2010;1.202,485
Apr 28, 2010;1.194,226
Apr 29, 2010;1.208,259
Apr 30, 2010;1.198,564
Mai 03, 2010;1.202,319
Mai 04, 2010;1.171,397
Mai 05, 2010;1.157,864
Mai 06, 2010;1.125,363
Mai 07, 2010;1.099,576
Mai 10, 2010;1.153,481
Mai 11, 2010;1.144,892
Mai 12, 2010;1.158,706
Mai 13, 2010;1.152,636
Mai 14, 2010;1.123,784
Mai 17, 2010;1.116,024
Mai 18, 2010;1.111,913
Mai 19, 2010;1.095,694
Mai 20, 2010;1.063,609
Mai 21, 2010;1.073,610
Mai 24, 2010;1.064,014
Mai 25, 2010;1.048,529
Mai 26, 2010;1.053,251
Mai 27, 2010;1.084,675
Mai 28, 2010;1.080,298
Mai 31, 2010;1.079,801
Jun 01, 2010;1.069,536
Jun 02, 2010;1.079,221
Jun 03, 2010;1.090,996
Jun 04, 2010;1.060,272
Jun 07, 2010;1.041,402
Jun 08, 2010;1.045,480
Jun 09, 2010;1.050,353
Jun 10, 2010;1.075,333
Jun 11, 2010;1.080,679
Jun 14, 2010;1.091,216
Jun 15, 2010;1.108,341
Jun 16, 2010;1.111,109
Jun 17, 2010;1.112,763
Jun 18, 2010;1.115,349
Jun 21, 2010;1.120,549
Jun 22, 2010;1.105,206
Jun 23, 2010;1.095,859
Jun 24, 2010;1.082,395
Jun 25, 2010;1.079,521
Jun 28, 2010;1.082,586
Jun 29, 2010;1.048,086
Jun 30, 2010;1.041,323
Jul 01, 2010;1.036,084
Jul 02, 2010;1.036,616
Jul 05, 2010;1.033,739
Jul 06, 2010;1.051,597
Jul 07, 2010;1.071,747
Jul 08, 2010;1.084,871
Jul 09, 2010;1.091,532
Jul 12, 2010;1.091,466
Jul 13, 2010;1.109,012
Jul 14, 2010;1.113,075
Jul 15, 2010;1.113,118
Jul 16, 2010;1.089,889
Jul 19, 2010;1.089,311
Jul 20, 2010;1.093,510
Jul 21, 2010;1.088,380
Jul 22, 2010;1.110,100
Jul 23, 2010;1.117,452
Jul 26, 2010;1.129,748
Jul 27, 2010;1.130,921
Jul 28, 2010;1.129,302
Jul 29, 2010;1.128,229
Jul 30, 2010;1.124,826
Aug 02, 2010;1.152,168
Aug 03, 2010;1.152,990
Aug 04, 2010;1.152,498
Aug 05, 2010;1.153,013
Aug 06, 2010;1.152,248
Aug 09, 2010;1.158,180
Aug 10, 2010;1.145,358
Aug 11, 2010;1.112,828
Aug 12, 2010;1.106,067
Aug 13, 2010;1.103,560
Aug 16, 2010;1.106,212
Aug 17, 2010;1.118,887
Aug 18, 2010;1.119,657
Aug 19, 2010;1.106,911
Aug 20, 2010;1.093,775
Aug 23, 2010;1.093,236
Aug 24, 2010;1.079,041
Aug 25, 2010;1.073,831
Aug 26, 2010;1.077,338
Aug 27, 2010;1.089,237
Aug 30, 2010;1.083,621
Aug 31, 2010;1.080,699
Sep 01, 2010;1.111,515
Sep 02, 2010;1.119,147
Sep 03, 2010;1.131,487
Sep 06, 2010;1.136,224
Sep 07, 2010;1.123,681
Sep 08, 2010;1.128,585
Sep 09, 2010;1.136,707
Sep 10, 2010;1.139,023
Sep 13, 2010;1.154,475
Sep 14, 2010;1.158,155
Sep 15, 2010;1.159,209
Sep 16, 2010;1.157,075
Sep 17, 2010;1.156,099
Sep 20, 2010;1.171,558
Sep 21, 2010;1.169,469
Sep 22, 2010;1.170,547
Sep 23, 2010;1.163,327
Sep 24, 2010;1.183,029
Sep 27, 2010;1.180,599
Sep 28, 2010;1.184,133
Sep 29, 2010;1.183,962
Sep 30, 2010;1.179,194
Okt 01, 2010;1.184,193
Okt 04, 2010;1.175,345
Okt 05, 2010;1.199,000
Okt 06, 2010;1.205,327
Okt 07, 2010;1.206,360
Okt 08, 2010;1.209,774
Okt 11, 2010;1.210,443
Okt 12, 2010;1.207,824
Okt 13, 2010;1.222,061
Okt 14, 2010;1.226,069
Okt 15, 2010;1.223,434
Okt 18, 2010;1.227,861
Okt 19, 2010;1.208,854
Okt 20, 2010;1.221,860
Okt 21, 2010;1.224,924
Okt 22, 2010;1.222,958
Okt 25, 2010;1.229,689
Okt 26, 2010;1.223,803
Okt 27, 2010;1.213,887
Okt 28, 2010;1.221,346
Okt 29, 2010;1.222,226
Nov 01, 2010;1.223,307
Nov 02, 2010;1.233,978
Nov 03, 2010;1.233,941
Nov 04, 2010;1.263,411
Nov 05, 2010;1.264,732
Nov 08, 2010;1.261,366
Nov 09, 2010;1.258,774
Nov 10, 2010;1.250,407
Nov 11, 2010;1.248,133
Nov 12, 2010;1.236,351
Nov 15, 2010;1.235,368
Nov 16, 2010;1.212,556
Nov 17, 2010;1.214,575
Nov 18, 2010;1.234,121
Nov 19, 2010;1.235,332
Nov 22, 2010;1.231,423
Nov 23, 2010;1.210,646
Nov 24, 2010;1.221,906
Nov 25, 2010;1.223,725
Nov 26, 2010;1.210,358
Nov 29, 2010;1.200,863
Nov 30, 2010;1.193,558
Dez 01, 2010;1.216,675
Dez 02, 2010;1.237,413
Dez 03, 2010;1.247,148
Dez 06, 2010;1.244,751
Dez 07, 2010;1.249,358
Dez 08, 2010;1.246,557
Dez 09, 2010;1.251,218
Dez 10, 2010;1.256,518
Dez 13, 2010;1.265,317
Dez 14, 2010;1.267,705
Dez 15, 2010;1.259,680
Dez 16, 2010;1.260,039
Dez 17, 2010;1.257,844
Dez 20, 2010;1.259,819
Dez 21, 2010;1.271,278
Dez 22, 2010;1.273,729
Dez 23, 2010;1.273,478
Dez 24, 2010;1.274,416
Dez 27, 2010;1.272,939
Dez 28, 2010;1.275,537
Dez 29, 2010;1.279,085
Dez 30, 2010;1.276,694
Dez 31, 2010;1.280,071
Jan 03, 2011;1.287,943
Jan 04, 2011;1.289,261
Jan 05, 2011;1.285,137
Jan 06, 2011;1.283,658
Jan 07, 2011;1.281,406
Jan 10, 2011;1.275,612
Jan 11, 2011;1.282,234
Jan 12, 2011;1.298,465
Jan 13, 2011;1.305,339
Jan 14, 2011;1.308,996
Jan 17, 2011;1.307,422
Jan 18, 2011;1.316,174
Jan 19, 2011;1.308,809
Jan 20, 2011;1.295,093
Jan 21, 2011;1.302,543
Jan 24, 2011;1.312,184
Jan 25, 2011;1.310,928
Jan 26, 2011;1.318,323
Jan 27, 2011;1.321,140
Jan 28, 2011;1.302,126
Jan 31, 2011;1.308,083
Feb 01, 2011;1.330,270
Feb 02, 2011;1.332,772
Feb 03, 2011;1.329,934
Feb 04, 2011;1.331,653
Feb 07, 2011;1.339,437
Feb 08, 2011;1.347,356
Feb 09, 2011;1.342,337
Feb 10, 2011;1.337,849
Feb 11, 2011;1.340,994
Feb 14, 2011;1.344,831
Feb 15, 2011;1.344,274
